Filename,Seed,Area,PL,L,W,L/W,Circularity,Distance between IS and CG (DS)[mm]
T68,197,1663.913901,204.268439,64.169261,35.101066,1.828129,0.501116,9.672353
T4 ,29,1384.870141,185.508486,59.645691,31.298659,1.905695,0.505698,14.936759
T86,56,1367.287957,183.882464,63.025206,37.120643,1.697848,0.508147,15.121836
T26 ,73,1466.291742,190.349391,64.603174,37.598803,1.718224,0.508543,14.263395
T89,72,1234.736462,174.004407,61.746775,35.179116,1.755211,0.512464,13.29023
T59,72,1357.887181,181.801669,61.7116,34.786758,1.773997,0.516271,6.045361
T85,63,1646.948133,199.680719,63.277008,38.297122,1.652265,0.51906,3.765461
T36 ,235,1418.30407,185.268932,59.538804,31.517792,1.889054,0.519247,2.404069
T28 ,166,2059.198858,223.12788,67.281165,39.267529,1.713405,0.519757,8.009719
T30 ,7,1224.361658,171.592681,56.558182,37.982283,1.489067,0.522543,7.639593
T71,196,1230.300589,171.823523,54.837484,30.901237,1.774605,0.523668,8.773538
T42 ,80,1752.062968,204.898537,67.41759,39.522348,1.705809,0.524423,6.23258
T67,82,1260.706201,173.56484,56.853151,32.539737,1.747191,0.525896,3.103644
T26 ,35,1170.396472,167.093406,58.07288,34.501426,1.683202,0.526774,12.594883
T12 ,166,1558.529515,192.531791,56.560975,36.109233,1.566385,0.528348,7.8163
T34 ,214,1578.644198,193.074469,66.85089,34.486517,1.938465,0.532163,16.205883
T95,64,1618.928685,194.840152,64.835854,35.805268,1.810791,0.535896,11.476275
T77,155,1599.886621,193.241014,62.633078,33.025792,1.89649,0.538394,6.081583
T88,78,1496.064959,186.255513,62.640224,38.936518,1.608778,0.541929,15.06784
T97,150,1324.92826,175.054185,51.049148,34.643624,1.473551,0.543322,9.919789
T25 ,28,1170.681111,164.426613,57.373258,34.28924,1.673215,0.544132,10.018787
T85,108,1594.497556,190.651732,62.784586,35.531547,1.76701,0.551255,17.367433
T97,171,1175.470294,163.69252,59.412667,30.764172,1.931229,0.551269,2.963227
T45 ,142,1507.243243,184.742423,58.002796,34.198151,1.69608,0.554958,11.124527
T63,59,1322.326191,173.026436,52.360431,39.117144,1.338555,0.555039,12.281905
T46,158,1334.041705,173.157395,58.767163,36.509987,1.609619,0.55911,8.401818
T55,101,1086.190822,156.232031,47.133737,34.1006,1.382197,0.559211,1.846933
T67,33,1595.369787,188.966893,63.769946,34.10847,1.869622,0.561435,13.651102
T26 ,171,1951.205283,206.51088,66.454949,38.588132,1.72216,0.574946,7.774612
T89,100,1408.238446,175.388979,59.988235,38.443759,1.560415,0.575283,9.461001
T49,131,1421.579325,175.988288,57.552951,37.321553,1.542083,0.576784,3.936616
T87,135,1581.174594,185.480873,64.287991,36.858194,1.744198,0.577552,9.928596
T40 ,115,1325.325779,169.662353,52.203568,36.145755,1.444252,0.578577,12.795165
T93,154,1923.956459,204.223602,67.470331,37.952281,1.777767,0.579687,13.269682
T40 ,95,1470.708215,178.482192,57.332587,39.236336,1.461212,0.580158,15.559791
T73,140,1605.144769,186.339236,60.894626,39.970574,1.523486,0.580919,5.962109
T52,118,1459.769517,177.671935,61.518297,33.63546,1.828972,0.581108,11.717535
T30 ,217,1433.34031,175.937633,58.318133,33.555836,1.737943,0.581891,8.250775
T34 ,78,1374.325149,171.911689,55.46955,34.59116,1.603576,0.584371,6.48651
T85,19,1908.552148,202.490506,66.628625,36.227808,1.839157,0.584931,22.27596
T85,98,1329.973612,168.647498,58.910014,34.883426,1.688768,0.587615,13.84908
T65,166,1424.515418,174.52651,59.953421,39.771974,1.507429,0.587698,7.837498
T90,117,1620.087336,185.972276,62.339442,34.303461,1.817293,0.588643,6.490777
T40 ,75,1326.685552,167.961124,53.413773,35.704167,1.49601,0.590963,12.400594
T74,17,1064.374797,150.387557,46.493733,38.26709,1.21498,0.591399,6.127703
T57,175,1273.978367,164.474093,53.198947,34.053264,1.562228,0.591803,11.415844
T57,95,1934.234301,202.376464,68.912208,37.290208,1.847997,0.59347,9.555312
T36 ,260,1356.292618,169.128682,54.967759,32.288584,1.70239,0.595839,7.622427
T61,17,1529.244564,179.559141,61.262947,38.004192,1.612005,0.596035,9.463698
T14 ,34,1326.938374,167.109002,59.375525,36.049426,1.647059,0.597119,5.565343
T7,48,1617.369673,184.403681,61.174994,36.915163,1.657178,0.597696,9.230459
