Filename,Seed,Area,PL,L,W,L/W,Circularity,Distance between IS and CG (DS)[mm]
T45 ,1,2.594595,7.439849,2.940858,1.03975,2.828427,0.589049,1.050307
T45 ,2,2.594595,7.439849,2.940858,1.03975,2.828427,0.589049,1.050307
T45 ,3,2.594595,7.439849,2.940858,1.03975,2.828427,0.589049,1.050307
T45 ,4,3.891892,10.229792,4.287001,0.929981,4.609772,0.467344,2.143501
T30 ,90,7.534533,10.979642,3.88189,3.88189,1,0.785398,0
T30 ,95,7.534533,10.979642,3.88189,3.88189,1,0.785398,0
T18 ,122,8.009968,11.320755,4.002491,4.002491,1,0.785398,0
T34 ,193,8.132101,11.406736,4.03289,4.03289,1,0.785398,0
T31 ,91,8.297799,11.52236,4.073769,4.073769,1,0.785398,0
T32 ,168,8.820719,11.879878,4.200171,4.200171,1,0.785398,0
T45 ,145,9.081081,12.089754,4.287001,3.631692,1.180442,0.780751,0.35725
T28 ,117,9.084224,12.091846,4.287743,3.632321,1.180442,0.780751,0.357312
T28 ,176,9.084224,12.091846,4.287743,3.632321,1.180442,0.780751,0.357312
T19 ,2,9.171975,12.114107,4.282984,4.282984,1,0.785398,0
T90,12,9.247367,12.163794,4.30055,4.30055,1,0.785398,0
T90,25,9.247367,12.163794,4.30055,4.30055,1,0.785398,0
T90,169,9.247367,12.163794,4.30055,4.30055,1,0.785398,0
T91,5,9.274048,12.181329,4.30675,4.30675,1,0.785398,0
T91,7,9.274048,12.181329,4.30675,4.30675,1,0.785398,0
T14 ,143,9.522532,12.34344,4.364065,4.364065,1,0.785398,0
T14 ,113,9.522532,12.34344,4.364065,4.364065,1,0.785398,0
T94,3,9.56531,12.371134,4.373856,4.373856,1,0.785398,0
T94,8,9.56531,12.371134,4.373856,4.373856,1,0.785398,0
T94,10,9.56531,12.371134,4.373856,4.373856,1,0.785398,0
T94,12,9.56531,12.371134,4.373856,4.373856,1,0.785398,0
T94,16,9.56531,12.371134,4.373856,4.373856,1,0.785398,0
T94,30,9.56531,12.371134,4.373856,4.373856,1,0.785398,0
T94,62,9.56531,12.371134,4.373856,4.373856,1,0.785398,0
